"id","serial","formula","created_at","mix_mass","film_code","machine_id","effective_width","effective_length","operator","chemist","tenant_id"
18334,"CD0621-01","Z","2011-07-27",,,,,,,,2
18335,"CD0629-02","Z","2011-07-27",,,,,,,,2
18336,"CD0617-01","Z","2011-07-27",,,,,,,,2
18337,"CD0519-01","Z","2011-07-27",,,,,,,,2
18338,"CD0620-04","Z","2011-07-27",,,,,,,,2
18339,"CD0408-01","Z","2011-07-27",,,,,,,,2
18340,"CD0601-01","Z","2011-07-27",,,,,,,,2
18341,"CD0601-02","Z","2011-07-27",,,,,,,,2
18342,"CD0601-06","Z","2011-07-27",,,,,,,,2
18343,"CD0601-07","Z","2011-07-27",,,,,,,,2
18344,"CD0601-08","Z","2011-07-27",,,,,,,,2
18345,"CD0601-09","Z","2011-07-27",,,,,,,,2
18346,"CD0601-10","Z","2011-07-27",,,,,,,,2
18347,"CD0602-01","Z","2011-07-27",,,,,,,,2
18348,"CD0602-03","Z","2011-07-27",,,,,,,,2
18349,"CD0602-05","Z","2011-07-27",,,,,,,,2
18350,"CD0602-06","Z","2011-07-27",,,,,,,,2
18351,"CD0602-08","Z","2011-07-27",,,,,,,,2
18352,"CD0602-09","Z","2011-07-27",,,,,,,,2
18353,"CD0531-03","Z","2011-07-27",,,,,,,,2
18354,"CD0531-05","Z","2011-07-27",,,,,,,,2
18355,"CD0531-07","Z","2011-07-27",,,,,,,,2
18356,"CD0531-10","Z","2011-07-27",,,,,,,,2
18357,"CD0531-11","Z","2011-07-27",,,,,,,,2
18358,"CD0531-12","Z","2011-07-27",,,,,,,,2
18359,"CD0531-14","Z","2011-07-27",,,,,,,,2
18360,"CD0531-15","Z","2011-07-27",,,,,,,,2
18361,"CD0603-01","Z","2011-07-27",,,,,,,,2
18362,"CD0603-02","Z","2011-07-27",,,,,,,,2
18363,"CD0603-03","Z","2011-07-27",,,,,,,,2
18364,"CD0603-05","Z","2011-07-27",,,,,,,,2
18365,"CD0603-06","Z","2011-07-27",,,,,,,,2
18366,"CD0603-07","Z","2011-07-27",,,,,,,,2
18367,"CD0429-02","Z","2011-07-27",,,,,,,,2
18368,"CD0615-07","Z","2011-07-27",,,,,,,,2
18369,"CD0615-08","Z","2011-07-27",,,,,,,,2
18370,"CD0615-01","Z","2011-07-27",,,,,,,,2
18371,"CD0615-04","Z","2011-07-27",,,,,,,,2
18372,"CD0714-01","H","2011-07-27",,,,,,,,2
18373,"CD0714-02","H","2011-07-27",,,,,,,,2
18374,"CD0713-03","H","2011-07-27",,,,,,,,2
18375,"CD0713-02","H","2011-07-27",,,,,,,,2
18376,"CD0615-03","Z","2011-07-27",,,,,,,,2
18377,"CD0615-05","Z","2011-07-27",,,,,,,,2
18378,"CD0705-01","Z","2011-07-27",,,,,,,,2
18379,"CD0705-03","H","2011-07-27",,,,,,,,2
18380,"CD0705-02","Z","2011-07-27",,,,,,,,2
18381,"CD0322-02","Z","2011-07-27",,,,,,,,2
18382,"CD0317-02","Z","2011-07-27",,,,,,,,2
18383,"CD0318-02","Z","2011-07-27",,,,,,,,2
18384,"CD0321-01","Z","2011-07-27",,,,,,,,2
18385,"CD0526-01","Z","2011-07-27",,,,,,,,2
18386,"CD0527-07","Z","2011-07-27",,,,,,,,2
18387,"CD0608-04","Z","2011-07-27",,,,,,,,2
18388,"CD0620-06","Z","2011-07-27",,,,,,,,2
18389,"CD0620-02","Z","2011-07-27",,,,,,,,2
18390,"CD0309-02","Z","2011-07-27",,,,,,,,2
18391,"CD0308-02","Z","2011-07-27",,,,,,,,2
18392,"CD0303-02","Z","2011-07-27",,,,,,,,2
18393,"CD0124-01","Z","2011-07-27",,,,,,,,2
18394,"CD0527-09","Z","2011-07-27",,,,,,,,2
18395,"CD0529-10","Z","2011-07-27",,,,,,,,2
18396,"CD0529-08","Z","2011-07-27",,,,,,,,2
18397,"CD0708-02","H","2011-07-27",,,,,,,,2
18398,"CD0708-04","H","2011-07-27",,,,,,,,2
18399,"CD0708-06","H","2011-07-27",,,,,,,,2
18400,"CD0528-12","Z","2011-07-27",,,,,,,,2
18401,"CD0530-14","Z","2011-07-27",,,,,,,,2
18402,"CD0530-03","Z","2011-07-27",,,,,,,,2
18403,"CD0530-05","Z","2011-07-27",,,,,,,,2
18404,"CD0530-08","Z","2011-07-27",,,,,,,,2
18405,"CD0530-12","Z","2011-07-27",,,,,,,,2
18406,"CD0530-10","Z","2011-07-27",,,,,,,,2
18407,"CD0530-11","Z","2011-07-27",,,,,,,,2
18408,"CD0614-03","Z","2011-07-27",,,,,,,,2
18409,"CD0525-02","Z","2011-07-27",,,,,,,,2
18410,"CD0314-02","Z","2011-07-27",,,,,,,,2
18411,"CD0316-02","Z","2011-07-27",,,,,,,,2
18412,"CD0316-01","Z","2011-07-27",,,,,,,,2
18413,"CD0315-01","Z","2011-07-27",,,,,,,,2
18414,"CD0314-01","Z","2011-07-27",,,,,,,,2
18415,"CD0311-02","Z","2011-07-27",,,,,,,,2
18416,"CD0310-01","Z","2011-07-27",,,,,,,,2
18417,"CD0310-02","Z","2011-07-27",,,,,,,,2
18418,"CD0413-02","Z","2011-07-27",,,,,,,,2
18419,"CD0414-02","Z","2011-07-27",,,,,,,,2
18420,"CD0414-01","Z","2011-07-27",,,,,,,,2
18421,"CD0517-02","Z","2011-07-27",,,,,,,,2
18422,"CD0517-03","Z","2011-07-27",,,,,,,,2
18423,"CD0519-02","Z","2011-07-27",,,,,,,,2
18424,"CD0516-02","Z","2011-07-27",,,,,,,,2
18425,"CD0510-01","Z","2011-07-27",,,,,,,,2
18426,"CD0428-02","Z","2011-07-27",,,,,,,,2
18427,"CD0727-01","H","2011-07-27",127.48,"OC100",5,1450.00,3150.00,35,34,2
18428,"CD0727-02","H","2011-07-27",127.52,"OC100",5,1450.00,3200.00,35,34,2
18429,"CD0621-04","Z","2011-07-27",,,,,,,,2
18430,"CD0614-02","Z","2011-07-27",,,,,,,,2
18431,"CD0614-04","Z","2011-07-27",,,,,,,,2
18432,"CD0627-02","H","2011-07-27",,,,,,,,2
18433,"CD0429-01","Z","2011-07-27",,,,,,,,2
18434,"CD0524-01","Z","2011-07-27",,,,,,,,2
18435,"CD0627-01","Z","2011-07-27",,,,,,,,2
18436,"CD0627-03","Z","2011-07-27",,,,,,,,2
18437,"CD0620-01","","2011-07-27",,,,,,,,2
18438,"CD0608-08","Z","2011-07-27",,,,,,,,2
18439,"CD0608-01","Z","2011-07-27",,,,,,,,2
18440,"CD0608-10","Z","2011-07-27",,,,,,,,2
18441,"CD0608-05","Z","2011-07-27",,,,,,,,2
18442,"CD0608-07","Z","2011-07-27",,,,,,,,2
18443,"CD0608-06","Z","2011-07-27",,,,,,,,2
18444,"CD0527-02","Z","2011-07-27",,,,,,,,2
18445,"CD0527-01","Z","2011-07-27",,,,,,,,2
18446,"CD0527-03","Z","2011-07-27",,,,,,,,2
18447,"CD0527-08","Z","2011-07-27",,,,,,,,2
18448,"CD0527-05","Z","2011-07-27",,,,,,,,2
